Average of DiscPerc,Column Labels,,,
Row Labels,Mock_30C-22C,Mock_30C-28C,Pathogen_30C-22C,Pathogen_30C-28C
1,,,,
301161,12.60550306,22.91296936,23.92673559,41.26231224
310131,3.00735668,3.817884483,43.07445274,38.53003976
310802,10.60782913,9.185665225,35.45272927,31.04425454
311151,3.94322435,3.912198511,41.72422625,58.64913961
311206,1.75740509,5.397225424,44.56138577,15.45171865
311385,1.632374752,5.476573701,23.5372434,48.39385194
2,,,,
310219,6.56379459,18.91561785,56.07676763,65.93674605
310301,4.959850529,14.3619423,90.1362518,95.69373716
310354,3.972466533,4.416403308,57.26399692,31.79274359
310645,7.788412896,5.219974261,66.79599669,18.79711474
310747,9.876596086,3.574892155,64.17873084,60.49264497
310998,8.293879336,11.42829139,73.35598843,45.22939116
311600,15.34867593,11.06633555,52.6280664,36.31581218
311642,2.967536734,3.961057658,78.78229317,50.21694082
311735,9.601114144,13.23222416,98.39449541,40.00939306
3,,,,
310111,2.17,63.19166667,91.2715811,95.10184809
311078,3.489497778,55.1838278,49.73357152,99.30555556
311677,12.37026553,41.29427928,68.61908717,70.87940437
4,,,,
311383,19.93694104,8.062515588,87.26605218,79.16193005
311795,28.10161513,32.61182371,61.61890508,87.69000101
